id,name,open,labeled,commented,closed
MDU6SXNzdWU5MDUwMzgwOTg=,https://github.com/obsidianmd/obsidian-translations/issues/483,2021-05-28T09:28:35Z,,2021-05-28T14:39:10Z,2021-05-30T21:24:14Z
MDU6SXNzdWU5MTI5Mjk1MjU=,https://github.com/obsidianmd/obsidian-translations/issues/486,2021-06-06T19:38:18Z,,2021-06-07T16:57:41Z,2021-06-07T16:57:43Z
MDU6SXNzdWU5MjU0NzY0Njc=,https://github.com/obsidianmd/obsidian-translations/issues/494,2021-06-19T22:13:47Z,,2021-06-22T07:01:17Z,2021-06-23T07:12:16Z
MDU6SXNzdWU5MzYyMTk0MjE=,https://github.com/obsidianmd/obsidian-translations/issues/508,2021-07-03T09:54:29Z,,2021-12-29T17:52:57Z,2022-07-26T05:26:44Z
MDU6SXNzdWU5NDQ0OTM0NjY=,https://github.com/obsidianmd/obsidian-translations/issues/520,2021-07-14T14:33:46Z,,2022-04-19T18:46:39Z,2022-04-19T18:46:39Z
MDU6SXNzdWU5NDQ0OTczOTA=,https://github.com/obsidianmd/obsidian-translations/issues/521,2021-07-14T14:37:54Z,,2021-07-18T07:08:36Z,2022-06-20T14:15:41Z
MDU6SXNzdWU5NDY5NjgwMTM=,https://github.com/obsidianmd/obsidian-translations/issues/522,2021-07-18T07:01:56Z,,2021-07-18T12:15:15Z,2021-07-18T14:20:12Z
MDU6SXNzdWU5NTIxMDAzNzE=,https://github.com/obsidianmd/obsidian-translations/issues/525,2021-07-24T15:58:23Z,,2021-07-24T18:10:57Z,2021-07-24T23:44:01Z
MDU6SXNzdWU5NjQyMzM3MzQ=,https://github.com/obsidianmd/obsidian-translations/issues/535,2021-08-09T17:58:44Z,,2021-08-12T03:21:46Z,2021-08-12T11:44:53Z
I_kwDOEQQguc48p8CI,https://github.com/obsidianmd/obsidian-translations/issues/558,2021-10-06T06:56:38Z,,2021-10-12T21:10:35Z,2022-06-20T14:37:40Z
I_kwDOEQQguc485ouJ,https://github.com/obsidianmd/obsidian-translations/issues/561,2021-10-09T15:56:23Z,,2022-04-19T18:46:09Z,2023-08-31T11:56:54Z
I_kwDOEQQguc4-o2qT,https://github.com/obsidianmd/obsidian-translations/issues/568,2021-11-11T11:51:27Z,,,2022-03-27T19:07:39Z
I_kwDOEQQguc5A5iZu,https://github.com/obsidianmd/obsidian-translations/issues/584,2021-12-26T18:47:23Z,,2021-12-26T19:33:54Z,2022-04-19T18:43:20Z
I_kwDOEQQguc5Cc9fA,https://github.com/obsidianmd/obsidian-translations/issues/598,2022-01-26T10:59:10Z,,2022-04-19T18:41:11Z,2022-06-20T14:01:29Z
I_kwDOEQQguc5DDNby,https://github.com/obsidianmd/obsidian-translations/issues/599,2022-02-05T12:13:45Z,,2022-04-19T18:53:12Z,2022-04-19T18:53:14Z
I_kwDOEQQguc5DOE82,https://github.com/obsidianmd/obsidian-translations/issues/600,2022-02-08T21:13Z,,2022-04-19T18:55:27Z,2022-04-19T18:55:27Z
I_kwDOEQQguc5GA43G,https://github.com/obsidianmd/obsidian-translations/issues/607,2022-03-20T18:18:33Z,,2022-04-19T19:00:26Z,2022-04-19T19:00:26Z
I_kwDOEQQguc5KvfdL,https://github.com/obsidianmd/obsidian-translations/issues/621,2022-05-31T14:34:32Z,,2022-06-20T14:39:59Z,2022-06-20T14:39:59Z
I_kwDOEQQguc5LK5eR,https://github.com/obsidianmd/obsidian-translations/issues/623,2022-06-05T20:06:41Z,,2022-06-20T13:54:16Z,2022-06-20T13:54:18Z
I_kwDOEQQguc5Lx9zR,https://github.com/obsidianmd/obsidian-translations/issues/627,2022-06-14T21:34:14Z,,2022-06-20T14:43:32Z,2022-06-20T14:43:34Z
I_kwDOEQQguc5MiOYa,https://github.com/obsidianmd/obsidian-translations/issues/635,2022-06-24T18:09:09Z,,2022-07-04T15:02:02Z,
I_kwDOEQQguc5MyGxF,https://github.com/obsidianmd/obsidian-translations/issues/639,2022-06-29T05:48:25Z,,2023-03-13T09:42:39Z,2023-07-26T16:12:57Z
I_kwDOEQQguc5M96vV,https://github.com/obsidianmd/obsidian-translations/issues/642,2022-07-01T11:43:56Z,,2022-07-20T09:06:12Z,2022-07-24T05:31:22Z
I_kwDOEQQguc5NAin-,https://github.com/obsidianmd/obsidian-translations/issues/643,2022-07-02T07:02:13Z,,2022-07-21T06:11:03Z,2022-07-21T06:11:03Z
I_kwDOEQQguc5NWyHD,https://github.com/obsidianmd/obsidian-translations/issues/646,2022-07-07T17:29:14Z,,2022-12-06T12:09:40Z,2023-01-03T18:24:01Z
I_kwDOEQQguc5OriEX,https://github.com/obsidianmd/obsidian-translations/issues/661,2022-07-27T19:28:09Z,,2023-08-17T17:52:46Z,2023-08-17T17:52:46Z
I_kwDOEQQguc5PM1l3,https://github.com/obsidianmd/obsidian-translations/issues/666,2022-08-04T14:58:10Z,,2023-05-02T18:12:57Z,2023-05-02T18:12:57Z
I_kwDOEQQguc5PVO6l,https://github.com/obsidianmd/obsidian-translations/issues/667,2022-08-07T09:45:37Z,,2022-08-08T16:39:36Z,2022-10-13T13:03:14Z
I_kwDOEQQguc5Pt2fH,https://github.com/obsidianmd/obsidian-translations/issues/673,2022-08-12T16:31:18Z,,2022-08-12T17:39:41Z,2022-08-26T04:38:40Z
I_kwDOEQQguc5Qfqvo,https://github.com/obsidianmd/obsidian-translations/issues/676,2022-08-25T07:53:14Z,,2022-08-25T08:12:51Z,2022-08-26T04:36:53Z
I_kwDOEQQguc5QiIpH,https://github.com/obsidianmd/obsidian-translations/issues/678,2022-08-25T15:54:58Z,,2023-01-03T18:33:18Z,2023-01-03T18:33:19Z
I_kwDOEQQguc5Qqtd3,https://github.com/obsidianmd/obsidian-translations/issues/679,2022-08-28T14:39:04Z,,2023-01-03T18:38:30Z,2023-01-03T18:38:32Z
I_kwDOEQQguc5Qx3uN,https://github.com/obsidianmd/obsidian-translations/issues/681,2022-08-30T06:43:07Z,,2023-01-03T18:41:09Z,2023-01-03T18:41:11Z
I_kwDOEQQguc5T98Y8,https://github.com/obsidianmd/obsidian-translations/issues/688,2022-10-14T04:29:44Z,,2022-12-17T20:46:15Z,2023-01-12T20:17:39Z
I_kwDOEQQguc5UdvPb,https://github.com/obsidianmd/obsidian-translations/issues/697,2022-10-20T18:34:29Z,,2022-12-17T19:57Z,2022-12-17T20:38:49Z
I_kwDOEQQguc5Un58R,https://github.com/obsidianmd/obsidian-translations/issues/699,2022-10-23T10:36:22Z,,,2022-10-23T10:41:07Z
I_kwDOEQQguc5VpGex,https://github.com/obsidianmd/obsidian-translations/issues/716,2022-11-05T05:38:02Z,,2022-11-05T05:40:14Z,2022-11-05T05:41:03Z
I_kwDOEQQguc5YIboF,https://github.com/obsidianmd/obsidian-translations/issues/726,2022-12-06T09:06:14Z,,2023-01-03T18:42:44Z,2023-04-24T20:46:34Z
I_kwDOEQQguc5ZwBC-,https://github.com/obsidianmd/obsidian-translations/issues/736,2022-12-21T06:06:12Z,,2023-01-03T18:26:08Z,2023-01-28T08:30:09Z
I_kwDOEQQguc5ZwIfl,https://github.com/obsidianmd/obsidian-translations/issues/737,2022-12-21T06:42:13Z,,2023-01-03T18:26:42Z,
I_kwDOEQQguc5chNEt,https://github.com/obsidianmd/obsidian-translations/issues/751,2023-01-22T17:22:40Z,,2023-01-23T16:46:57Z,2023-01-23T21:17:53Z
I_kwDOEQQguc5c5t6Q,https://github.com/obsidianmd/obsidian-translations/issues/754,2023-01-26T19:10:56Z,,2023-01-30T20:31:25Z,2023-01-30T20:31:25Z
I_kwDOEQQguc5dBz8f,https://github.com/obsidianmd/obsidian-translations/issues/755,2023-01-28T08:28:07Z,,2023-01-29T14:47:23Z,2023-03-01T17:37:06Z
